section_names,Natural Language Interpretation
Section_Attitude,Governmental Attitude Regarding International and Nongovernmental Investigation of Alleged Violations of Human Rights
Section_Attitude_Sub_GovernmentHumanRightsBodies,Government Human Rights Bodies (Local government or government human rights bodies attempting to investigate human rights cases)
Section_Attitude_Sub_UNandOtherInternationalBodies,The United Nations or Other International Bodies (nternational organizations attempting to investigate human rights cases)
Section_Civil,Respect for Civil Liberties
Section_Civil_Sub_Assembly,Freedom of Peaceful Assembly and Association
Section_Civil_Sub_Assembly_Sub_FreedomofAssembly,Freedom of association
Section_Civil_Sub_Assembly_Sub_FreedomofAssociation,Freedom of assembly
Section_Civil_Sub_Movement,"Freedom of Movement, Internally Displaced Persons, Protection of Refugees, and Stateless Persons"
Section_Civil_Sub_Movement_Sub_AbuseofMigrantsRefugees,Abuse of Migrants and Refugees
Section_Civil_Sub_Movement_Sub_Citizenship,Citizenship (granting citizenship to refugees)
Section_Civil_Sub_Movement_Sub_EmigrationandRepatriation,Emigration and Repatriation
Section_Civil_Sub_Movement_Sub_Exile,Exile (forced exile)
Section_Civil_Sub_Movement_Sub_ForeignTravel,Foreign Travel (freefom of foreign travel)
Section_Civil_Sub_Movement_Sub_IncountryMovement,Incountry Movement (freedom of domestic travel)
Section_Civil_Sub_Movement_Sub_InternallyDisplacedPersons,Internally Displaced Persons
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees,Protection of Refugees
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees_Sub_AccesstoAsylum,Access to Asylum ( granting of asylum )
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees_Sub_AccesstoBasicServices,Access to Basic Services (access to government-provided health care and education)
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees_Sub_DurableSolutions,Durable Solutions (durable settlement solutions for refugees)
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees_Sub_Employment,Employment (Employment Opportunity for refugees)
Section_Civil_Sub_Movement_Sub_ProtectionofRefugees_Sub_FreedomofMovement,Freedom of Movement of refugees
